Date/Time,Surface_10,Sub_Surface_2,Surface_11,Surface_13,Surface_14,Surface_2,Surface_20,Surface_22,Surface_5,Sub_Surface_1,Surface_1,Surface_15,Surface_21,Surface_9,Surface_12,Surface_18,Surface_24,Surface_6
 08/05  05:00:00,23.60981501,20.84937632,22.99546521,23.17485186,22.02025666,22.94702417,22.02025666,23.64795836,22.96607109,19.99235578,22.375,22.375,22.375,22.375,18.52709248,18.5854782,18.53343974,18.57660286
 08/05  06:00:00,25.78494626,22.2773181,23.13745437,23.29263661,22.68117515,23.05316862,22.68117515,25.87563174,23.10512961,19.95779163,22.375,22.375,22.375,22.375,18.54934509,18.60963144,18.55481353,18.60198521
 08/05  07:00:00,38.76231377,29.90635137,24.5466885,24.52978088,26.19662395,24.30724701,26.19662395,39.18270862,24.51101671,24.03056487,22.375,22.375,22.375,22.375,24.87328489,24.91417081,24.87708712,24.90885824
 08/05  08:00:00,47.01690315,31.80928992,26.93255454,26.60983108,27.25197556,26.40383573,27.25197556,47.61587851,26.87982652,28.76062452,22.375,22.375,22.375,22.375,33.30618016,33.33942237,33.30882379,33.33572679
 08/05  09:00:00,51.0164156,30.99290775,31.1885457,28.44409274,28.33782796,28.23665184,28.33782796,51.69206215,30.93662048,35.28415477,22.375,22.375,22.375,22.375,42.36002978,42.3919026,42.36202548,42.38911274
 08/05  10:00:00,51.29289822,29.20205291,36.33902512,30.20494648,29.96158829,29.99707754,29.96158829,51.96826792,35.93154055,39.38488841,22.375,22.375,22.375,22.375,50.27372327,50.3000692,50.27520411,50.29799906
 08/05  11:00:00,47.71387555,29.07913519,40.54270143,31.78541923,31.51843687,31.59611788,31.51843687,48.6192305,40.1615143,39.8699943,22.375,22.375,22.375,22.375,55.01691658,55.03938078,55.01792369,55.03797286
 08/05  12:00:00,42.3610349,30.28231696,43.60034081,32.96764357,32.6259766,32.79182484,32.6259766,43.61725352,43.34846617,38.84965768,22.375,22.375,22.375,22.375,58.77048381,58.79368185,58.77118361,58.79270355
 08/05  13:00:00,39.14188083,31.13692521,45.56403356,35.88408487,33.45549092,35.71749373,33.45549092,39.62963874,45.37757192,39.22124042,22.375,22.375,22.375,22.375,61.82262855,61.84502313,61.82312777,61.84432525
 08/05  14:00:00,38.10539782,31.60724705,45.72022622,41.96510091,33.97853707,41.80983929,33.97853707,38.40059434,45.41933485,41.50989794,22.375,22.375,22.375,22.375,61.77611073,61.79752272,61.77646543,61.79702687
